"Lugar","Avatar","Nombre","Posicion","Nacionalidades","Edad","Club","ValorMasAlto","UltmaRevision","ValorMercado"
"1","https://img.a.transfermarkt.technology/portrait/medium/288230-1684148641.jpg?lm=1","Ousmane Dembélé","Extremo derecho","Francia","28","París Saint-Germain FC","120,00 mill. €","03/06/2025","90,00 mill. €"
"2","https://img.a.transfermarkt.technology/portrait/medium/502670-1708553120.jpg?lm=1","Khvicha Kvaratskhelia","Extremo izquierdo","Georgia","24","París Saint-Germain FC","90,00 mill. €","03/06/2025","90,00 mill. €"
"3","https://img.a.transfermarkt.technology/portrait/medium/914562-1667317075.jpg?lm=1","Désiré Doué","Extremo derecho","Francia / Costa de Marfil","20","París Saint-Germain FC","90,00 mill. €","03/06/2025","90,00 mill. €"
"4","https://img.a.transfermarkt.technology/portrait/medium/398073-1672304327.jpg?lm=1","Achraf Hakimi","Lateral derecho","Marruecos / España","26","París Saint-Germain FC","80,00 mill. €","03/06/2025","80,00 mill. €"
"5","https://img.a.transfermarkt.technology/portrait/medium/487469-1749415169.jpg?lm=1","Vitinha","Mediocentro","Portugal","25","París Saint-Germain FC","80,00 mill. €","03/06/2025","80,00 mill. €"
"6","https://img.a.transfermarkt.technology/portrait/medium/670681-1701295511.jpg?lm=1","João Neves","Pivote","Portugal","20","París Saint-Germain FC","80,00 mill. €","03/06/2025","80,00 mill. €"
"7","https://img.a.transfermarkt.technology/portrait/medium/616341-1749417164.jpg?lm=1","Nuno Mendes","Lateral izquierdo","Portugal","23","París Saint-Germain FC","70,00 mill. €","03/06/2025","70,00 mill. €"
"8","https://img.a.transfermarkt.technology/portrait/medium/708265-1653406915.jpg?lm=1","Bradley Barcola","Extremo izquierdo","Francia / Togo","22","París Saint-Germain FC","70,00 mill. €","03/06/2025","70,00 mill. €"
"9","https://img.a.transfermarkt.technology/portrait/medium/661171-1696508666.jpg?lm=1","Willian Pacho","Defensa central","Ecuador","23","París Saint-Germain FC","65,00 mill. €","03/06/2025","65,00 mill. €"
"10","https://img.a.transfermarkt.technology/portrait/medium/810092-1672303575.jpg?lm=1","Warren Zaïre-Emery","Mediocentro","Francia / Martinica","19","París Saint-Germain FC","60,00 mill. €","03/06/2025","55,00 mill. €"
"11","https://img.a.transfermarkt.technology/portrait/medium/533738-1666690584.jpg?lm=1","Jonathan David","Delantero centro","Canadá / Estados Unidos","25","LOSC Lille","60,00 mill. €","03/06/2025","45,00 mill. €"
"12","https://img.a.transfermarkt.technology/portrait/medium/745200-1717406573.jpg?lm=1","Maghnes Akliouche","Extremo derecho","Francia / Argelia","23","AS Mónaco","45,00 mill. €","03/06/2025","45,00 mill. €"
"13","https://img.a.transfermarkt.technology/portrait/medium/315858-1672304477.jpg?lm=1","Gianluigi Donnarumma","Portero","Italia","26","París Saint-Germain FC","65,00 mill. €","03/06/2025","40,00 mill. €"
"14","https://img.a.transfermarkt.technology/portrait/medium/350219-1718958379.jpg?lm=1","Fabián Ruiz","Mediocentro","España","29","París Saint-Germain FC","60,00 mill. €","03/06/2025","40,00 mill. €"
"15","https://img.a.transfermarkt.technology/portrait/medium/550550-1681906158.jpg?lm=1","Gonçalo Ramos","Delantero centro","Portugal","24","París Saint-Germain FC","50,00 mill. €","03/06/2025","40,00 mill. €"
"16","https://img.a.transfermarkt.technology/portrait/medium/532826-1693987766.jpg?lm=1","Mason Greenwood","Extremo derecho","Inglaterra","23","Olympique de Marsella","50,00 mill. €","03/06/2025","40,00 mill. €"
"17","https://img.a.transfermarkt.technology/portrait/medium/181767-1672303747.jpg?lm=1","Marquinhos","Defensa central","Brasil / Portugal","31","París Saint-Germain FC","75,00 mill. €","03/06/2025","35,00 mill. €"
"18","https://img.a.transfermarkt.technology/portrait/medium/743386-1676881156.jpg?lm=1","Malick Fofana","Extremo izquierdo","Bélgica / Guinea","20","Olympique de Lyon","30,00 mill. €","03/06/2025","30,00 mill. €"
"19","https://img.a.transfermarkt.technology/portrait/medium/463600-1708342501.jpg?lm=1","Lucas Chevalier","Portero","Francia","23","LOSC Lille","30,00 mill. €","03/06/2025","30,00 mill. €"
"20","https://img.a.transfermarkt.technology/portrait/medium/418659-1649428727.jpg?lm=1","Amine Gouiri","Delantero centro","Argelia / Francia","25","Olympique de Marsella","50,00 mill. €","03/06/2025","30,00 mill. €"
"21","https://img.a.transfermarkt.technology/portrait/medium/334526-1667990520.jpg?lm=1","Denis Zakaria","Pivote","Suiza / RD del Congo","28","AS Mónaco","45,00 mill. €","03/06/2025","30,00 mill. €"
"22","https://img.a.transfermarkt.technology/portrait/medium/565821-1736777758.jpg?lm=1","Mika Biereth","Delantero centro","Dinamarca / Inglaterra","22","AS Mónaco","30,00 mill. €","03/06/2025","30,00 mill. €"
